freq_GHz,S11_dB_flat_0pct,S11_dB_flat_5pct,S11_dB_flat_10pct,S11_dB_flat_15pct,S11_dB_flat_20pct
3.096000,-3.3142,-2.6669,-2.0679,-1.7725,-1.5631
3.098000,-3.2964,-2.6538,-2.0600,-1.7670,-1.5594
3.100000,-3.2787,-2.6408,-2.0522,-1.7615,-1.5557
3.102000,-3.2612,-2.6279,-2.0445,-1.7560,-1.5520
3.104000,-3.2438,-2.6151,-2.0368,-1.7506,-1.5484
3.106000,-3.2266,-2.6024,-2.0292,-1.7452,-1.5448
3.108000,-3.2095,-2.5898,-2.0216,-1.7399,-1.5412
3.110000,-3.1926,-2.5774,-2.0141,-1.7346,-1.5377
3.112000,-3.1758,-2.5650,-2.0067,-1.7294,-1.5342
3.114000,-3.1591,-2.5527,-1.9993,-1.7243,-1.5308
3.116000,-3.1426,-2.5406,-1.9920,-1.7191,-1.5274
3.118000,-3.1262,-2.5285,-1.9848,-1.7141,-1.5241
3.120000,-3.1099,-2.5166,-1.9776,-1.7091,-1.5207
3.122000,-3.0938,-2.5047,-1.9705,-1.7041,-1.5175
3.124000,-3.0778,-2.4929,-1.9635,-1.6992,-1.5142
3.126000,-3.0620,-2.4813,-1.9565,-1.6943,-1.5110
3.128000,-3.0462,-2.4697,-1.9496,-1.6895,-1.5079
3.130000,-3.0307,-2.4582,-1.9427,-1.6847,-1.5047
3.132000,-3.0152,-2.4469,-1.9359,-1.6799,-1.5017
3.134000,-2.9999,-2.4356,-1.9291,-1.6753,-1.4986
3.136000,-2.9847,-2.4244,-1.9225,-1.6706,-1.4956
3.138000,-2.9696,-2.4133,-1.9158,-1.6660,-1.4926
3.140000,-2.9546,-2.4023,-1.9093,-1.6615,-1.4897
3.142000,-2.9398,-2.3914,-1.9027,-1.6569,-1.4868
3.144000,-2.9251,-2.3806,-1.8963,-1.6525,-1.4839
3.146000,-2.9105,-2.3699,-1.8899,-1.6481,-1.4811
3.148000,-2.8960,-2.3593,-1.8835,-1.6437,-1.4783
3.150000,-2.8817,-2.3487,-1.8772,-1.6394,-1.4756
3.152000,-2.8674,-2.3382,-1.8710,-1.6351,-1.4728
3.154000,-2.8533,-2.3279,-1.8648,-1.6308,-1.4702
3.156000,-2.8393,-2.3176,-1.8587,-1.6266,-1.4675
3.158000,-2.8254,-2.3074,-1.8527,-1.6225,-1.4649
3.160000,-2.8116,-2.2973,-1.8466,-1.6184,-1.4623
3.162000,-2.7980,-2.2873,-1.8407,-1.6143,-1.4598
3.164000,-2.7844,-2.2773,-1.8348,-1.6103,-1.4573
3.166000,-2.7710,-2.2674,-1.8289,-1.6063,-1.4548
3.168000,-2.7576,-2.2577,-1.8231,-1.6023,-1.4524
3.170000,-2.7444,-2.2480,-1.8174,-1.5984,-1.4500
3.172000,-2.7313,-2.2384,-1.8117,-1.5946,-1.4476
3.174000,-2.7183,-2.2288,-1.8060,-1.5907,-1.4453
3.176000,-2.7054,-2.2194,-1.8004,-1.5870,-1.4430
3.178000,-2.6926,-2.2100,-1.7949,-1.5832,-1.4407
3.180000,-2.6799,-2.2007,-1.7894,-1.5795,-1.4385
3.182000,-2.6673,-2.1915,-1.7840,-1.5759,-1.4363
3.184000,-2.6548,-2.1823,-1.7786,-1.5722,-1.4341
3.186000,-2.6424,-2.1733,-1.7732,-1.5687,-1.4320
3.188000,-2.6302,-2.1643,-1.7680,-1.5651,-1.4299
3.190000,-2.6180,-2.1553,-1.7627,-1.5616,-1.4278
3.192000,-2.6059,-2.1465,-1.7575,-1.5582,-1.4258
3.194000,-2.5939,-2.1377,-1.7524,-1.5548,-1.4238
3.196000,-2.5820,-2.1290,-1.7473,-1.5514,-1.4218
3.198000,-2.5702,-2.1204,-1.7422,-1.5480,-1.4199
3.200000,-2.5585,-2.1119,-1.7372,-1.5447,-1.4180
3.202000,-2.5469,-2.1034,-1.7323,-1.5415,-1.4161
3.204000,-2.5354,-2.0950,-1.7274,-1.5382,-1.4143
3.206000,-2.5240,-2.0867,-1.7225,-1.5350,-1.4125
3.208000,-2.5126,-2.0784,-1.7177,-1.5319,-1.4108
3.210000,-2.5014,-2.0702,-1.7129,-1.5288,-1.4090
3.212000,-2.4902,-2.0621,-1.7082,-1.5257,-1.4073
3.214000,-2.4792,-2.0540,-1.7035,-1.5227,-1.4056
3.216000,-2.4682,-2.0460,-1.6989,-1.5196,-1.4040
3.218000,-2.4573,-2.0381,-1.6943,-1.5167,-1.4024
3.220000,-2.4466,-2.0303,-1.6898,-1.5138,-1.4008
3.222000,-2.4358,-2.0225,-1.6853,-1.5109,-1.3993
3.224000,-2.4252,-2.0148,-1.6808,-1.5080,-1.3978
3.226000,-2.4147,-2.0071,-1.6764,-1.5052,-1.3963
3.228000,-2.4043,-1.9995,-1.6721,-1.5024,-1.3948
3.230000,-2.3939,-1.9920,-1.6678,-1.4996,-1.3934
3.232000,-2.3836,-1.9846,-1.6635,-1.4969,-1.3920
3.234000,-2.3734,-1.9772,-1.6593,-1.4943,-1.3907
3.236000,-2.3633,-1.9698,-1.6551,-1.4916,-1.3894
3.238000,-2.3533,-1.9626,-1.6509,-1.4890,-1.3881
3.240000,-2.3433,-1.9554,-1.6468,-1.4864,-1.3868
3.242000,-2.3334,-1.9482,-1.6428,-1.4839,-1.3856
3.244000,-2.3236,-1.9411,-1.6387,-1.4814,-1.3844
3.246000,-2.3139,-1.9341,-1.6348,-1.4789,-1.3832
3.248000,-2.3043,-1.9272,-1.6308,-1.4765,-1.3821
3.250000,-2.2947,-1.9203,-1.6269,-1.4741,-1.3810
