freq_GHz,S11_dB
1.774,-0.800391214597094
1.776,-0.8056976652908349
1.778,-0.8110526798978355
1.78,-0.8164568066786021
1.782,-0.8219105999722387
1.784,-0.8274146202791581
1.786,-0.832969434344647
1.788,-0.838575615243732
1.79,-0.8442337424672263
1.792,-0.8499444020089962
1.794,-0.8557081864543893
1.796,-0.8615256950701501
1.798,-0.8673975338950455
1.8,-0.8733243158323646
1.802,-0.8793066607436235
1.804,-0.8853451955431497
1.806,-0.8914405542944848
1.808,-0.8975933783079831
1.81,-0.903804316239756
1.812,-0.9100740241919542
1.814,-0.9164031658147285
1.816,-0.9227924124094565
1.818,-0.9292424430331871
1.82,-0.9357539446051777
1.822,-0.9423276120144382
1.824,-0.9489641482288806
1.826,-0.9556642644062753
1.828,-0.9624286800064685
1.83,-0.9692581229054924
1.832,-0.9761533295110175
1.834,-0.983115044879671
1.836,-0.9901440228359824
1.838,-0.9972410260928833
1.84,-1.0044068263742618
1.842,-1.0116422045387905
1.844,-1.018947950706069
1.846,-1.026324864384145
1.848,-1.033773754599083
1.85,-1.0412954400263286
1.8519999999999999,-1.0488907491240342
1.854,-1.0565605202681447
1.8559999999999999,-1.0643056018896675
1.858,-1.0721268526136563
1.8599999999999999,-1.0800251414004716
1.862,-1.088001347688823
1.8639999999999999,-1.0960563615410739
1.866,-1.1041910837905704
1.8679999999999999,-1.1124064261910933
1.87,-1.1207033115685712
1.8719999999999999,-1.1290826739747977
1.874,-1.1375454588436587
1.876,-1.1460926231493704
1.8780000000000001,-1.1547251355672226
1.88,-1.1634439766365516
1.8820000000000001,-1.17225013892605
1.884,-1.181144627201721
1.8860000000000001,-1.1901284585970238
1.888,-1.1992026627856238
1.8900000000000001,-1.2083682821567174
1.892,-1.2176263719928695
1.8940000000000001,-1.2269780006505013
1.896,-1.2364242497429887
1.8980000000000001,-1.245966214326507
1.9,-1.2556050030886137
1.9020000000000001,-1.2653417385395773
1.904,-1.275177557206577
1.9060000000000001,-1.2851136098307878
1.908,-1.2951510615673347
1.9100000000000001,-1.3052910921882903
1.912,-1.3155348962886328
1.9140000000000001,-1.3258836834953125
1.916,-1.3363386786794205
1.918,-1.3469011221715486
1.92,-1.3575722699803472
1.922,-1.3683533940143944
1.924,-1.3792457823073745
1.926,-1.3902507392466559
1.928,-1.4013695858053354
1.93,-1.412603659777754
1.932,-1.4239543160186108
1.934,-1.4354229266856908
1.936,-1.447010881486277
1.938,-1.4587195879273505
1.94,-1.4705504715695454
1.942,-1.4825049762850886
1.944,-1.494584564519566
1.946,-1.50679071755786
1.948,-1.519124935794073
1.95,-1.531588739005655
1.952,-1.5441836666318054
1.954,-1.556911278056161
1.956,-1.5697731528938916
1.958,-1.582770891283346
1.96,-1.5959061141820814
1.962,-1.6091804636678344
1.964,-1.6225956032438975
1.966,-1.6361532181496221
1.968,-1.6498550156756537
1.97,-1.6637027254841963
1.972,-1.6776980999345197
1.974,-1.6918429144134914
1.976,-1.7061389676715755
1.978,-1.7205880821641661
1.98,-1.7351921043984377
1.982,-1.7499529052859462
1.984,-1.764872380500737
1.986,-1.7799524508436324
1.988,-1.795195062612251
1.99,-1.8106021879773015
1.992,-1.8261758253649396
1.994,-1.8419179998457482
1.996,-1.8578307635299618
1.998,-1.8739161959695476
2.0,-1.8901764045669163
2.002,-1.9066135249906426
2.004,-1.9232297215983434
2.0060000000000002,-1.9400271878666795
2.008,-1.9570081468288427
2.01,-1.9741748515195598
2.012,-1.9915295854280877
2.0140000000000002,-2.009074662958656
2.016,-2.026812429899658
2.018,-2.0447452639005106
2.02,-2.0628755749576317
2.0220000000000002,-2.0812058059086573
2.024,-2.0997384329357964
2.026,-2.1184759660783543
2.028,-2.137420949754529
2.0300000000000002,-2.156575963292901
2.032,-2.1759436214737162
2.034,-2.1955265750802297
2.036,-2.2153275114606465
2.0380000000000003,-2.2353491551003386
2.04,-2.255594268205216
2.042,-2.2760656512963457
2.044,-2.296766143815803
2.0460000000000003,-2.3176986247446747
2.048,-2.3388660132328005
2.05,-2.3602712692416636
2.052,-2.381917394199177
2.0540000000000003,-2.4038074316684943
2.056,-2.4259444680299165
2.058,-2.448331633176961
2.06,-2.470972101226663
2.0620000000000003,-2.493869091244811
2.064,-2.5170258679861175
2.066,-2.5404457426505567
2.068,-2.564132073655416
2.0700000000000003,-2.5880882674241428
2.072,-2.612317779192501
2.074,-2.63682411383209
2.076,-2.6616108266925274
2.078,-2.6866815244622417
2.08,-2.712039866048563
2.082,-2.7376895634781686
2.084,-2.76363438281825
2.086,-2.789878145118693
2.088,-2.816424727376835
2.09,-2.843278063524787
2.092,-2.8704421454405153
2.094,-2.8979210239833946
2.096,-2.925718810054749
2.098,-2.95383967568495
2.1,-2.982287855147341
2.102,-3.011067646100107
2.104,-3.040183410757428
2.106,-3.0696395770903258
2.108,-3.0994406400590524
2.11,-3.129591162877433
2.112,-3.1600957783107027
2.114,-3.190959190008295
2.116,-3.222186173872277
2.118,-3.2537815794632357
2.12,-3.285750331445053
2.122,-3.3180974310697318
2.124,-3.3508279577040097
2.126,-3.3839470703993686
2.128,-3.4174600095071437
2.13,-3.451372098340477
2.132,-3.485688744884759
2.134,-3.5204154435589547
2.136,-3.555557777029476
2.138,-3.591121418078496
2.14,-3.6271121315298864
2.142,-3.6635357762337732
2.144,-3.7003983071132938
2.146,-3.7377057772754347
2.148,-3.7754643401888344
2.15,-3.8136802519314354
2.152,-3.8523598735108244
2.154,-3.8915096732602876
2.156,-3.931136229313905
2.158,-3.9712462321642743
2.16,-4.011846487305722
2.162,-4.0529439179678475
2.164,-4.094545567942283
2.166,-4.1366586045072875
2.168,-4.179290321454593
2.17,-4.222448142222644
2.172,-4.266139623141566
2.174,-4.310372456794283
2.176,-4.355154475499633
2.178,-4.4004936549225
2.18,-4.446398117817355
2.182,-4.492876137910943
2.184,-4.539936143930813
2.186,-4.5875867237863215
2.188,-4.635836628909681
2.19,-4.684694778764064
2.192,-4.734170265527256
2.194,-4.784272358959046
2.196,-4.835010511461134
2.198,-4.886394363339117
2.2,-4.938433748276502
2.202,-4.991138699030571
2.2039999999999997,-5.044519453362241
